"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mir7226",0,NA,NA,NA,NA,NA
"Ptprf",0,NA,NA,NA,NA,NA
"LOC118568687",0,NA,NA,NA,NA,NA
"Gm23382",0,NA,NA,NA,NA,NA
"Kdm4a",0,NA,NA,NA,NA,NA
"LOC118568688",3.43166729277591,-0.243380326416757,1.62359997579871,-0.149901656839474,0.880842204519994,0.991147707420276
"9530034E10Rik",0,NA,NA,NA,NA,NA
"St3gal3",0.649488764416182,1.55747143675328,3.95785708592843,0.393513813899607,0.693940023250071,0.977178756916937
"Artn",0,NA,NA,NA,NA,NA
"Ipo13",0,NA,NA,NA,NA,NA
"Dph2",0,NA,NA,NA,NA,NA
"Atp6v0b",0,NA,NA,NA,NA,NA
"Gm12841",0,NA,NA,NA,NA,NA
"Gm40233",0,NA,NA,NA,NA,NA
"B4galt2",0,NA,NA,NA,NA,NA
"Ccdc24",0,NA,NA,NA,NA,NA
"Slc6a9",0,NA,NA,NA,NA,NA
"Gm12842",0,NA,NA,NA,NA,NA
"Gm40232",0,NA,NA,NA,NA,NA
"Klf17",1.17626850967016,-2.52019725486262,2.587720048294,-0.973906453491403,0.330102989152856,0.977178756916937
"Gm12844",0,NA,NA,NA,NA,NA
"Gm12845",0.351245821215191,-1.92441329388381,4.02693843514759,-0.477884955252186,0.632732089996162,0.977178756916937
"Gm34746",0,NA,NA,NA,NA,NA
"Dmap1",0,NA,NA,NA,NA,NA
"Gm19192",0,NA,NA,NA,NA,NA
"Eri3",0,NA,NA,NA,NA,NA
"Gm34669",0,NA,NA,NA,NA,NA
"Gm12827",0,NA,NA,NA,NA,NA
"Gm12828",0,NA,NA,NA,NA,NA
"Gm40231",0,NA,NA,NA,NA,NA
"Gm12843",0,NA,NA,NA,NA,NA
"Rnf220",0,NA,NA,NA,NA,NA
"Tmem53",0,NA,NA,NA,NA,NA
"Armh1",0.154358237503173,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Gm23287",0,NA,NA,NA,NA,NA
"Gm23143",0,NA,NA,NA,NA,NA
"Gm25099",0,NA,NA,NA,NA,NA
"Kif2c",0,NA,NA,NA,NA,NA
"Snord55",0,NA,NA,NA,NA,NA
"LOC115490046",0,NA,NA,NA,NA,NA
"Snord38a",0,NA,NA,NA,NA,NA
"Gm22980",0,NA,NA,NA,NA,NA
"Rps8",0,NA,NA,NA,NA,NA
"Gm13015",0,NA,NA,NA,NA,NA
"Best4-ps",0.142229865807183,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Plk3",0,NA,NA,NA,NA,NA
"Tctex1d4",0,NA,NA,NA,NA,NA
"Btbd19",0,NA,NA,NA,NA,NA
"Ptch2",0,NA,NA,NA,NA,NA
"Gm22335",0.126405235495197,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Eif2b3",0,NA,NA,NA,NA,NA
"Gm12997",0,NA,NA,NA,NA,NA
"Hectd3",0,NA,NA,NA,NA,NA
"Urod",0,NA,NA,NA,NA,NA
"Gm12998",242.556930710045,0.779587160034387,1.41718689990473,0.550094811126744,0.582254345485677,0.977178756916937
"Gm22092",0,NA,NA,NA,NA,NA
"Zswim5",0,NA,NA,NA,NA,NA
"Rpl36-ps8",0,NA,NA,NA,NA,NA
"Gm12996",0,NA,NA,NA,NA,NA
"Hpdl",0,NA,NA,NA,NA,NA
"Mutyh",0,NA,NA,NA,NA,NA
"Toe1",0,NA,NA,NA,NA,NA
